category,amount,best_card_logic,actual_card,cb_Ace_Credit_Card,cb_Amazon_Pay_Credit_Card,cb_BPCL_Octane_Credit_Card,cb_BankBazaar_Credit_Card,cb_Cashback_Credit_Card,cb_Coral_Credit_Card,cb_Diners_Club_Black,cb_Elite_Credit_Card,cb_Emerald_Private_Metal,cb_First_Classic_Credit_Card,cb_First_Wealth_Credit_Card,cb_Flipkart_Axis_Bank_Credit_Card,cb_HPCL_Super_Saver_Credit_Card,cb_League_Platinum_Credit_Card,cb_Magnus_Credit_Card,cb_Millennia_Credit_Card,cb_My_Zone_Credit_Card,cb_PVR_Platinum_Credit_Card,cb_Regalia_Gold,cb_SimplyCLICK_Credit_Card,cb_SimplySAVE_Credit_Card,cb_Super_Value_Titanium_Credit_Card,cb_Tata_Neu_Infinity_Credit_Card,cb_Vistara_Infinite_Credit_Card,cb_White_Credit_Card,cb_YES_First_Business_Credit_Card
groceries,9451.26,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,94.5126,94.5126,23.6282,47.2563,94.5126,23.6282,23.6282,11.8141,16.5397,47.2563,11.8141,94.5126,23.6282,11.8141,11.8141,94.5126,11.8141,11.8141,11.8141,141.7689,94.5126,94.5126,189.0252,23.6282,11.8141,11.8141
fuel,14168.42,BPCL Octane Credit Card,HPCL Super Saver Credit Card,70.8421,70.8421,354.2105,70.8421,70.8421,17.7105,35.4211,17.7105,24.7947,70.8421,17.7105,70.8421,283.3684,17.7105,17.7105,70.8421,17.7105,17.7105,17.7105,70.8421,70.8421,70.8421,70.8421,35.4211,17.7105,17.7105
travel,18485.83,Diners Club Black,Super Value Titanium Credit Card,92.4292,92.4292,46.2146,92.4292,92.4292,46.2146,277.2875,92.4292,194.1012,92.4292,115.5364,92.4292,46.2146,69.3219,138.6437,92.4292,23.1073,23.1073,138.6437,92.4292,92.4292,92.4292,92.4292,231.0729,92.4292,69.3219
travel,8560.27,Diners Club Black,Diners Club Black,42.8013,42.8013,21.4007,42.8013,42.8013,21.4007,128.4041,42.8013,89.8828,42.8013,53.5017,42.8013,21.4007,32.101,64.202,42.8013,10.7003,10.7003,64.202,42.8013,42.8013,42.8013,42.8013,107.0034,42.8013,32.101
travel,18177.39,Diners Club Black,Emerald Private Metal,90.8869,90.8869,45.4435,90.8869,90.8869,45.4435,272.6608,90.8869,190.8626,90.8869,113.6087,90.8869,45.4435,68.1652,136.3304,90.8869,22.7217,22.7217,136.3304,90.8869,90.8869,90.8869,90.8869,227.2174,90.8869,68.1652
fuel,11941.38,BPCL Octane Credit Card,Magnus Credit Card,59.7069,59.7069,298.5345,59.7069,59.7069,14.9267,29.8534,14.9267,20.8974,59.7069,14.9267,59.7069,238.8276,14.9267,14.9267,59.7069,14.9267,14.9267,14.9267,59.7069,59.7069,59.7069,59.7069,29.8534,14.9267,14.9267
dining,13804.69,Cashback Credit Card,Cashback Credit Card,138.0469,69.0234,34.5117,69.0234,276.0938,34.5117,138.0469,34.5117,96.6328,69.0234,51.7676,69.0234,34.5117,34.5117,51.7676,138.0469,34.5117,34.5117,69.0234,138.0469,138.0469,138.0469,138.0469,69.0234,34.5117,34.5117
fuel,10059.4,BPCL Octane Credit Card,BPCL Octane Credit Card,50.297,50.297,251.485,50.297,50.297,12.5742,25.1485,12.5742,17.6039,50.297,12.5742,50.297,201.188,12.5742,12.5742,50.297,12.5742,12.5742,12.5742,50.297,50.297,50.297,50.297,25.1485,12.5742,12.5742
shopping,12000.93,Millennia Credit Card,First Wealth Credit Card,120.0093,360.0279,30.0023,60.0046,240.0186,30.0023,60.0046,30.0023,42.0033,60.0046,30.0023,360.0279,30.0023,30.0023,30.0023,360.0279,45.0035,60.0046,30.0023,360.0279,120.0093,120.0093,360.0279,30.0023,30.0023,60.0046
shopping,1917.41,Millennia Credit Card,First Classic Credit Card,19.1741,57.5223,4.7935,9.587,38.3482,4.7935,9.587,4.7935,6.7109,9.587,4.7935,57.5223,4.7935,4.7935,4.7935,57.5223,7.1903,9.587,4.7935,57.5223,19.1741,19.1741,57.5223,4.7935,4.7935,9.587
shopping,19991.49,Millennia Credit Card,Millennia Credit Card,199.9149,599.7447,49.9787,99.9575,399.8298,49.9787,99.9575,49.9787,69.9702,99.9575,49.9787,599.7447,49.9787,49.9787,49.9787,599.7447,74.9681,99.9575,49.9787,599.7447,199.9149,199.9149,599.7447,49.9787,49.9787,99.9575
fuel,11567.31,BPCL Octane Credit Card,Super Value Titanium Credit Card,57.8365,57.8365,289.1827,57.8365,57.8365,14.4591,28.9183,14.4591,20.2428,57.8365,14.4591,57.8365,231.3462,14.4591,14.4591,57.8365,14.4591,14.4591,14.4591,57.8365,57.8365,57.8365,57.8365,28.9183,14.4591,14.4591
dining,18329.85,Cashback Credit Card,Cashback Credit Card,183.2985,91.6492,45.8246,91.6492,366.597,45.8246,183.2985,45.8246,128.3089,91.6492,68.7369,91.6492,45.8246,45.8246,68.7369,183.2985,45.8246,45.8246,91.6492,183.2985,183.2985,183.2985,183.2985,91.6492,45.8246,45.8246
groceries,8774.11,Tata Neu Infinity Credit Card,Ace Credit Card,87.7411,87.7411,21.9353,43.8706,87.7411,21.9353,21.9353,10.9676,15.3547,43.8706,10.9676,87.7411,21.9353,10.9676,10.9676,87.7411,10.9676,10.9676,10.9676,131.6116,87.7411,87.7411,175.4822,21.9353,10.9676,10.9676
dining,6732.84,Cashback Credit Card,Cashback Credit Card,67.3284,33.6642,16.8321,33.6642,134.6568,16.8321,67.3284,16.8321,47.1299,33.6642,25.2481,33.6642,16.8321,16.8321,25.2481,67.3284,16.8321,16.8321,33.6642,67.3284,67.3284,67.3284,67.3284,33.6642,16.8321,16.8321
travel,6663.09,Diners Club Black,Diners Club Black,33.3154,33.3154,16.6577,33.3154,33.3154,16.6577,99.9463,33.3154,69.9624,33.3154,41.6443,33.3154,16.6577,24.9866,49.9732,33.3154,8.3289,8.3289,49.9732,33.3154,33.3154,33.3154,33.3154,83.2886,33.3154,24.9866
fuel,13285.41,BPCL Octane Credit Card,BPCL Octane Credit Card,66.427,66.427,332.1353,66.427,66.427,16.6068,33.2135,16.6068,23.2495,66.427,16.6068,66.427,265.7082,16.6068,16.6068,66.427,16.6068,16.6068,16.6068,66.427,66.427,66.427,66.427,33.2135,16.6068,16.6068
groceries,830.27,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,8.3027,8.3027,2.0757,4.1513,8.3027,2.0757,2.0757,1.0378,1.453,4.1513,1.0378,8.3027,2.0757,1.0378,1.0378,8.3027,1.0378,1.0378,1.0378,12.4541,8.3027,8.3027,16.6054,2.0757,1.0378,1.0378
fuel,6533.15,BPCL Octane Credit Card,Super Value Titanium Credit Card,32.6657,32.6657,163.3288,32.6657,32.6657,8.1664,16.3329,8.1664,11.433,32.6657,8.1664,32.6657,130.663,8.1664,8.1664,32.6657,8.1664,8.1664,8.1664,32.6657,32.6657,32.6657,32.6657,16.3329,8.1664,8.1664
shopping,13187.44,Millennia Credit Card,Millennia Credit Card,131.8744,395.6232,32.9686,65.9372,263.7488,32.9686,65.9372,32.9686,46.156,65.9372,32.9686,395.6232,32.9686,32.9686,32.9686,395.6232,49.4529,65.9372,32.9686,395.6232,131.8744,131.8744,395.6232,32.9686,32.9686,65.9372
dining,1178.66,Cashback Credit Card,Cashback Credit Card,11.7866,5.8933,2.9466,5.8933,23.5732,2.9466,11.7866,2.9466,8.2506,5.8933,4.42,5.8933,2.9466,2.9466,4.42,11.7866,2.9466,2.9466,5.8933,11.7866,11.7866,11.7866,11.7866,5.8933,2.9466,2.9466
groceries,15153.22,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,151.5322,151.5322,37.883,75.7661,151.5322,37.883,37.883,18.9415,26.5181,75.7661,18.9415,151.5322,37.883,18.9415,18.9415,151.5322,18.9415,18.9415,18.9415,227.2983,151.5322,151.5322,303.0644,37.883,18.9415,18.9415
shopping,4150.81,Millennia Credit Card,Millennia Credit Card,41.5081,124.5243,10.377,20.7541,83.0162,10.377,20.7541,10.377,14.5278,20.7541,10.377,124.5243,10.377,10.377,10.377,124.5243,15.5655,20.7541,10.377,124.5243,41.5081,41.5081,124.5243,10.377,10.377,20.7541
fuel,8818.51,BPCL Octane Credit Card,BPCL Octane Credit Card,44.0926,44.0926,220.4628,44.0926,44.0926,11.0231,22.0463,11.0231,15.4324,44.0926,11.0231,44.0926,176.3702,11.0231,11.0231,44.0926,11.0231,11.0231,11.0231,44.0926,44.0926,44.0926,44.0926,22.0463,11.0231,11.0231
shopping,674.5,Millennia Credit Card,Millennia Credit Card,6.745,20.235,1.6863,3.3725,13.49,1.6863,3.3725,1.6863,2.3607,3.3725,1.6863,20.235,1.6863,1.6863,1.6863,20.235,2.5294,3.3725,1.6863,20.235,6.745,6.745,20.235,1.6863,1.6863,3.3725
travel,14224.68,Diners Club Black,Diners Club Black,71.1234,71.1234,35.5617,71.1234,71.1234,35.5617,213.3702,71.1234,149.3591,71.1234,88.9042,71.1234,35.5617,53.3426,106.6851,71.1234,17.7809,17.7809,106.6851,71.1234,71.1234,71.1234,71.1234,177.8085,71.1234,53.3426
shopping,11089.8,Millennia Credit Card,Millennia Credit Card,110.898,332.694,27.7245,55.449,221.796,27.7245,55.449,27.7245,38.8143,55.449,27.7245,332.694,27.7245,27.7245,27.7245,332.694,41.5867,55.449,27.7245,332.694,110.898,110.898,332.694,27.7245,27.7245,55.449
shopping,9282.81,Millennia Credit Card,Millennia Credit Card,92.8281,278.4843,23.207,46.414,185.6562,23.207,46.414,23.207,32.4898,46.414,23.207,278.4843,23.207,23.207,23.207,278.4843,34.8105,46.414,23.207,278.4843,92.8281,92.8281,278.4843,23.207,23.207,46.414
travel,10017.67,Diners Club Black,SimplyCLICK Credit Card,50.0883,50.0883,25.0442,50.0883,50.0883,25.0442,150.2651,50.0883,105.1855,50.0883,62.6104,50.0883,25.0442,37.5663,75.1325,50.0883,12.5221,12.5221,75.1325,50.0883,50.0883,50.0883,50.0883,125.2209,50.0883,37.5663
dining,19606.87,Cashback Credit Card,Cashback Credit Card,196.0687,98.0343,49.0172,98.0343,392.1374,49.0172,196.0687,49.0172,137.2481,98.0343,73.5258,98.0343,49.0172,49.0172,73.5258,196.0687,49.0172,49.0172,98.0343,196.0687,196.0687,196.0687,196.0687,98.0343,49.0172,49.0172
groceries,2978.38,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,29.7838,29.7838,7.4459,14.8919,29.7838,7.4459,7.4459,3.723,5.2122,14.8919,3.723,29.7838,7.4459,3.723,3.723,29.7838,3.723,3.723,3.723,44.6757,29.7838,29.7838,59.5676,7.4459,3.723,3.723
groceries,10213.99,Tata Neu Infinity Credit Card,SimplyCLICK Credit Card,102.1399,102.1399,25.535,51.0699,102.1399,25.535,25.535,12.7675,17.8745,51.0699,12.7675,102.1399,25.535,12.7675,12.7675,102.1399,12.7675,12.7675,12.7675,153.2099,102.1399,102.1399,204.2798,25.535,12.7675,12.7675
dining,6863.52,Cashback Credit Card,Millennia Credit Card,68.6352,34.3176,17.1588,34.3176,137.2704,17.1588,68.6352,17.1588,48.0446,34.3176,25.7382,34.3176,17.1588,17.1588,25.7382,68.6352,17.1588,17.1588,34.3176,68.6352,68.6352,68.6352,68.6352,34.3176,17.1588,17.1588
fuel,14548.41,BPCL Octane Credit Card,Super Value Titanium Credit Card,72.7421,72.7421,363.7103,72.7421,72.7421,18.1855,36.371,18.1855,25.4597,72.7421,18.1855,72.7421,290.9682,18.1855,18.1855,72.7421,18.1855,18.1855,18.1855,72.7421,72.7421,72.7421,72.7421,36.371,18.1855,18.1855
travel,8986.29,Diners Club Black,Diners Club Black,44.9315,44.9315,22.4657,44.9315,44.9315,22.4657,134.7944,44.9315,94.356,44.9315,56.1643,44.9315,22.4657,33.6986,67.3972,44.9315,11.2329,11.2329,67.3972,44.9315,44.9315,44.9315,44.9315,112.3286,44.9315,33.6986
fuel,11083.16,BPCL Octane Credit Card,BPCL Octane Credit Card,55.4158,55.4158,277.079,55.4158,55.4158,13.8539,27.7079,13.8539,19.3955,55.4158,13.8539,55.4158,221.6632,13.8539,13.8539,55.4158,13.8539,13.8539,13.8539,55.4158,55.4158,55.4158,55.4158,27.7079,13.8539,13.8539
dining,18663.76,Cashback Credit Card,Emerald Private Metal,186.6376,93.3188,46.6594,93.3188,373.2752,46.6594,186.6376,46.6594,130.6463,93.3188,69.9891,93.3188,46.6594,46.6594,69.9891,186.6376,46.6594,46.6594,93.3188,186.6376,186.6376,186.6376,186.6376,93.3188,46.6594,46.6594
dining,4747.89,Cashback Credit Card,My Zone Credit Card,47.4789,23.7395,11.8697,23.7395,94.9578,11.8697,47.4789,11.8697,33.2352,23.7395,17.8046,23.7395,11.8697,11.8697,17.8046,47.4789,11.8697,11.8697,23.7395,47.4789,47.4789,47.4789,47.4789,23.7395,11.8697,11.8697
dining,14134.03,Cashback Credit Card,HPCL Super Saver Credit Card,141.3403,70.6702,35.3351,70.6702,282.6806,35.3351,141.3403,35.3351,98.9382,70.6702,53.0026,70.6702,35.3351,35.3351,53.0026,141.3403,35.3351,35.3351,70.6702,141.3403,141.3403,141.3403,141.3403,70.6702,35.3351,35.3351
travel,9957.04,Diners Club Black,Diners Club Black,49.7852,49.7852,24.8926,49.7852,49.7852,24.8926,149.3556,49.7852,104.5489,49.7852,62.2315,49.7852,24.8926,37.3389,74.6778,49.7852,12.4463,12.4463,74.6778,49.7852,49.7852,49.7852,49.7852,124.463,49.7852,37.3389
groceries,19310.54,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,193.1054,193.1054,48.2764,96.5527,193.1054,48.2764,48.2764,24.1382,33.7934,96.5527,24.1382,193.1054,48.2764,24.1382,24.1382,193.1054,24.1382,24.1382,24.1382,289.6581,193.1054,193.1054,386.2108,48.2764,24.1382,24.1382
shopping,17496.39,Millennia Credit Card,Millennia Credit Card,174.9639,524.8917,43.741,87.4819,349.9278,43.741,87.4819,43.741,61.2374,87.4819,43.741,524.8917,43.741,43.741,43.741,524.8917,65.6115,87.4819,43.741,524.8917,174.9639,174.9639,524.8917,43.741,43.741,87.4819
groceries,18217.79,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,182.1779,182.1779,45.5445,91.089,182.1779,45.5445,45.5445,22.7722,31.8811,91.089,22.7722,182.1779,45.5445,22.7722,22.7722,182.1779,22.7722,22.7722,22.7722,273.2669,182.1779,182.1779,364.3558,45.5445,22.7722,22.7722
travel,8258.57,Diners Club Black,Diners Club Black,41.2929,41.2929,20.6464,41.2929,41.2929,20.6464,123.8785,41.2929,86.715,41.2929,51.6161,41.2929,20.6464,30.9696,61.9393,41.2929,10.3232,10.3232,61.9393,41.2929,41.2929,41.2929,41.2929,103.2321,41.2929,30.9696
travel,1589.08,Diners Club Black,BankBazaar Credit Card,7.9454,7.9454,3.9727,7.9454,7.9454,3.9727,23.8362,7.9454,16.6853,7.9454,9.9317,7.9454,3.9727,5.959,11.9181,7.9454,1.9863,1.9863,11.9181,7.9454,7.9454,7.9454,7.9454,19.8635,7.9454,5.959
dining,13031.75,Cashback Credit Card,SimplySAVE Credit Card,130.3175,65.1587,32.5794,65.1587,260.635,32.5794,130.3175,32.5794,91.2222,65.1587,48.8691,65.1587,32.5794,32.5794,48.8691,130.3175,32.5794,32.5794,65.1587,130.3175,130.3175,130.3175,130.3175,65.1587,32.5794,32.5794
dining,19087.38,Cashback Credit Card,Cashback Credit Card,190.8738,95.4369,47.7185,95.4369,381.7476,47.7185,190.8738,47.7185,133.6117,95.4369,71.5777,95.4369,47.7185,47.7185,71.5777,190.8738,47.7185,47.7185,95.4369,190.8738,190.8738,190.8738,190.8738,95.4369,47.7185,47.7185
dining,17460.42,Cashback Credit Card,Cashback Credit Card,174.6042,87.3021,43.651,87.3021,349.2084,43.651,174.6042,43.651,122.2229,87.3021,65.4766,87.3021,43.651,43.651,65.4766,174.6042,43.651,43.651,87.3021,174.6042,174.6042,174.6042,174.6042,87.3021,43.651,43.651
shopping,4771.93,Millennia Credit Card,Millennia Credit Card,47.7193,143.1579,11.9298,23.8597,95.4386,11.9298,23.8597,11.9298,16.7018,23.8597,11.9298,143.1579,11.9298,11.9298,11.9298,143.1579,17.8947,23.8597,11.9298,143.1579,47.7193,47.7193,143.1579,11.9298,11.9298,23.8597
fuel,19948.78,BPCL Octane Credit Card,Amazon Pay Credit Card,99.7439,99.7439,498.7195,99.7439,99.7439,24.936,49.8719,24.936,34.9104,99.7439,24.936,99.7439,398.9756,24.936,24.936,99.7439,24.936,24.936,24.936,99.7439,99.7439,99.7439,99.7439,49.8719,24.936,24.936
shopping,8929.2,Millennia Credit Card,Millennia Credit Card,89.292,267.876,22.323,44.646,178.584,22.323,44.646,22.323,31.2522,44.646,22.323,267.876,22.323,22.323,22.323,267.876,33.4845,44.646,22.323,267.876,89.292,89.292,267.876,22.323,22.323,44.646
shopping,1015.22,Millennia Credit Card,Ace Credit Card,10.1522,30.4566,2.5381,5.0761,20.3044,2.5381,5.0761,2.5381,3.5533,5.0761,2.5381,30.4566,2.5381,2.5381,2.5381,30.4566,3.8071,5.0761,2.5381,30.4566,10.1522,10.1522,30.4566,2.5381,2.5381,5.0761
dining,2996.84,Cashback Credit Card,Cashback Credit Card,29.9684,14.9842,7.4921,14.9842,59.9368,7.4921,29.9684,7.4921,20.9779,14.9842,11.2382,14.9842,7.4921,7.4921,11.2382,29.9684,7.4921,7.4921,14.9842,29.9684,29.9684,29.9684,29.9684,14.9842,7.4921,7.4921
groceries,13667.83,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,136.6783,136.6783,34.1696,68.3392,136.6783,34.1696,34.1696,17.0848,23.9187,68.3392,17.0848,136.6783,34.1696,17.0848,17.0848,136.6783,17.0848,17.0848,17.0848,205.0174,136.6783,136.6783,273.3566,34.1696,17.0848,17.0848
travel,1671.47,Diners Club Black,Emerald Private Metal,8.3574,8.3574,4.1787,8.3574,8.3574,4.1787,25.0721,8.3574,17.5504,8.3574,10.4467,8.3574,4.1787,6.268,12.536,8.3574,2.0893,2.0893,12.536,8.3574,8.3574,8.3574,8.3574,20.8934,8.3574,6.268
groceries,2948.04,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,29.4804,29.4804,7.3701,14.7402,29.4804,7.3701,7.3701,3.685,5.1591,14.7402,3.685,29.4804,7.3701,3.685,3.685,29.4804,3.685,3.685,3.685,44.2206,29.4804,29.4804,58.9608,7.3701,3.685,3.685
fuel,9245.45,BPCL Octane Credit Card,BPCL Octane Credit Card,46.2273,46.2273,231.1362,46.2273,46.2273,11.5568,23.1136,11.5568,16.1795,46.2273,11.5568,46.2273,184.909,11.5568,11.5568,46.2273,11.5568,11.5568,11.5568,46.2273,46.2273,46.2273,46.2273,23.1136,11.5568,11.5568
dining,18034.07,Cashback Credit Card,Cashback Credit Card,180.3407,90.1703,45.0852,90.1703,360.6814,45.0852,180.3407,45.0852,126.2385,90.1703,67.6278,90.1703,45.0852,45.0852,67.6278,180.3407,45.0852,45.0852,90.1703,180.3407,180.3407,180.3407,180.3407,90.1703,45.0852,45.0852
travel,1569.85,Diners Club Black,Elite Credit Card,7.8492,7.8492,3.9246,7.8492,7.8492,3.9246,23.5477,7.8492,16.4834,7.8492,9.8116,7.8492,3.9246,5.8869,11.7739,7.8492,1.9623,1.9623,11.7739,7.8492,7.8492,7.8492,7.8492,19.6231,7.8492,5.8869
dining,13837.24,Cashback Credit Card,Cashback Credit Card,138.3724,69.1862,34.5931,69.1862,276.7448,34.5931,138.3724,34.5931,96.8607,69.1862,51.8897,69.1862,34.5931,34.5931,51.8897,138.3724,34.5931,34.5931,69.1862,138.3724,138.3724,138.3724,138.3724,69.1862,34.5931,34.5931
fuel,4064.42,BPCL Octane Credit Card,BPCL Octane Credit Card,20.3221,20.3221,101.6105,20.3221,20.3221,5.0805,10.161,5.0805,7.1127,20.3221,5.0805,20.3221,81.2884,5.0805,5.0805,20.3221,5.0805,5.0805,5.0805,20.3221,20.3221,20.3221,20.3221,10.161,5.0805,5.0805
dining,2222.4,Cashback Credit Card,Cashback Credit Card,22.224,11.112,5.556,11.112,44.448,5.556,22.224,5.556,15.5568,11.112,8.334,11.112,5.556,5.556,8.334,22.224,5.556,5.556,11.112,22.224,22.224,22.224,22.224,11.112,5.556,5.556
fuel,11538.76,BPCL Octane Credit Card,HPCL Super Saver Credit Card,57.6938,57.6938,288.469,57.6938,57.6938,14.4235,28.8469,14.4235,20.1928,57.6938,14.4235,57.6938,230.7752,14.4235,14.4235,57.6938,14.4235,14.4235,14.4235,57.6938,57.6938,57.6938,57.6938,28.8469,14.4235,14.4235
dining,5562.16,Cashback Credit Card,Cashback Credit Card,55.6216,27.8108,13.9054,27.8108,111.2432,13.9054,55.6216,13.9054,38.9351,27.8108,20.8581,27.8108,13.9054,13.9054,20.8581,55.6216,13.9054,13.9054,27.8108,55.6216,55.6216,55.6216,55.6216,27.8108,13.9054,13.9054
shopping,18221.28,Millennia Credit Card,My Zone Credit Card,182.2128,546.6384,45.5532,91.1064,364.4256,45.5532,91.1064,45.5532,63.7745,91.1064,45.5532,546.6384,45.5532,45.5532,45.5532,546.6384,68.3298,91.1064,45.5532,546.6384,182.2128,182.2128,546.6384,45.5532,45.5532,91.1064
travel,12180.59,Diners Club Black,Diners Club Black,60.903,60.903,30.4515,60.903,60.903,30.4515,182.7089,60.903,127.8962,60.903,76.1287,60.903,30.4515,45.6772,91.3544,60.903,15.2257,15.2257,91.3544,60.903,60.903,60.903,60.903,152.2574,60.903,45.6772
travel,12455.73,Diners Club Black,Diners Club Black,62.2786,62.2786,31.1393,62.2786,62.2786,31.1393,186.836,62.2786,130.7852,62.2786,77.8483,62.2786,31.1393,46.709,93.418,62.2786,15.5697,15.5697,93.418,62.2786,62.2786,62.2786,62.2786,155.6966,62.2786,46.709
travel,12602.14,Diners Club Black,Elite Credit Card,63.0107,63.0107,31.5053,63.0107,63.0107,31.5053,189.0321,63.0107,132.3225,63.0107,78.7634,63.0107,31.5053,47.258,94.516,63.0107,15.7527,15.7527,94.516,63.0107,63.0107,63.0107,63.0107,157.5267,63.0107,47.258
dining,763.95,Cashback Credit Card,Cashback Credit Card,7.6395,3.8198,1.9099,3.8198,15.279,1.9099,7.6395,1.9099,5.3477,3.8198,2.8648,3.8198,1.9099,1.9099,2.8648,7.6395,1.9099,1.9099,3.8198,7.6395,7.6395,7.6395,7.6395,3.8198,1.9099,1.9099
travel,1893.65,Diners Club Black,Diners Club Black,9.4683,9.4683,4.7341,9.4683,9.4683,4.7341,28.4048,9.4683,19.8833,9.4683,11.8353,9.4683,4.7341,7.1012,14.2024,9.4683,2.3671,2.3671,14.2024,9.4683,9.4683,9.4683,9.4683,23.6706,9.4683,7.1012
dining,3595.24,Cashback Credit Card,Cashback Credit Card,35.9524,17.9762,8.9881,17.9762,71.9048,8.9881,35.9524,8.9881,25.1667,17.9762,13.4821,17.9762,8.9881,8.9881,13.4821,35.9524,8.9881,8.9881,17.9762,35.9524,35.9524,35.9524,35.9524,17.9762,8.9881,8.9881
groceries,17541.57,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,175.4157,175.4157,43.8539,87.7078,175.4157,43.8539,43.8539,21.927,30.6977,87.7078,21.927,175.4157,43.8539,21.927,21.927,175.4157,21.927,21.927,21.927,263.1236,175.4157,175.4157,350.8314,43.8539,21.927,21.927
groceries,18278.39,Tata Neu Infinity Credit Card,First Wealth Credit Card,182.7839,182.7839,45.696,91.3919,182.7839,45.696,45.696,22.848,31.9872,91.3919,22.848,182.7839,45.696,22.848,22.848,182.7839,22.848,22.848,22.848,274.1758,182.7839,182.7839,365.5678,45.696,22.848,22.848
fuel,14956.53,BPCL Octane Credit Card,BPCL Octane Credit Card,74.7827,74.7827,373.9133,74.7827,74.7827,18.6957,37.3913,18.6957,26.1739,74.7827,18.6957,74.7827,299.1306,18.6957,18.6957,74.7827,18.6957,18.6957,18.6957,74.7827,74.7827,74.7827,74.7827,37.3913,18.6957,18.6957
shopping,9419.79,Millennia Credit Card,Millennia Credit Card,94.1979,282.5937,23.5495,47.099,188.3958,23.5495,47.099,23.5495,32.9693,47.099,23.5495,282.5937,23.5495,23.5495,23.5495,282.5937,35.3242,47.099,23.5495,282.5937,94.1979,94.1979,282.5937,23.5495,23.5495,47.099
travel,17216.8,Diners Club Black,Vistara Infinite Credit Card,86.084,86.084,43.042,86.084,86.084,43.042,258.252,86.084,180.7764,86.084,107.605,86.084,43.042,64.563,129.126,86.084,21.521,21.521,129.126,86.084,86.084,86.084,86.084,215.21,86.084,64.563
groceries,7378.92,Tata Neu Infinity Credit Card,Cashback Credit Card,73.7892,73.7892,18.4473,36.8946,73.7892,18.4473,18.4473,9.2236,12.9131,36.8946,9.2236,73.7892,18.4473,9.2236,9.2236,73.7892,9.2236,9.2236,9.2236,110.6838,73.7892,73.7892,147.5784,18.4473,9.2236,9.2236
shopping,9150.24,Millennia Credit Card,Millennia Credit Card,91.5024,274.5072,22.8756,45.7512,183.0048,22.8756,45.7512,22.8756,32.0258,45.7512,22.8756,274.5072,22.8756,22.8756,22.8756,274.5072,34.3134,45.7512,22.8756,274.5072,91.5024,91.5024,274.5072,22.8756,22.8756,45.7512
fuel,11732.75,BPCL Octane Credit Card,Diners Club Black,58.6638,58.6638,293.3188,58.6638,58.6638,14.6659,29.3319,14.6659,20.5323,58.6638,14.6659,58.6638,234.655,14.6659,14.6659,58.6638,14.6659,14.6659,14.6659,58.6638,58.6638,58.6638,58.6638,29.3319,14.6659,14.6659
travel,9482.39,Diners Club Black,Diners Club Black,47.4119,47.4119,23.706,47.4119,47.4119,23.706,142.2358,47.4119,99.5651,47.4119,59.2649,47.4119,23.706,35.559,71.1179,47.4119,11.853,11.853,71.1179,47.4119,47.4119,47.4119,47.4119,118.5299,47.4119,35.559
groceries,6627.33,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,66.2733,66.2733,16.5683,33.1367,66.2733,16.5683,16.5683,8.2842,11.5978,33.1367,8.2842,66.2733,16.5683,8.2842,8.2842,66.2733,8.2842,8.2842,8.2842,99.4099,66.2733,66.2733,132.5466,16.5683,8.2842,8.2842
shopping,12744.54,Millennia Credit Card,Millennia Credit Card,127.4454,382.3362,31.8614,63.7227,254.8908,31.8614,63.7227,31.8614,44.6059,63.7227,31.8614,382.3362,31.8614,31.8614,31.8614,382.3362,47.792,63.7227,31.8614,382.3362,127.4454,127.4454,382.3362,31.8614,31.8614,63.7227
fuel,13019.86,BPCL Octane Credit Card,BPCL Octane Credit Card,65.0993,65.0993,325.4965,65.0993,65.0993,16.2748,32.5496,16.2748,22.7848,65.0993,16.2748,65.0993,260.3972,16.2748,16.2748,65.0993,16.2748,16.2748,16.2748,65.0993,65.0993,65.0993,65.0993,32.5496,16.2748,16.2748
shopping,18930.6,Millennia Credit Card,Millennia Credit Card,189.306,567.918,47.3265,94.653,378.612,47.3265,94.653,47.3265,66.2571,94.653,47.3265,567.918,47.3265,47.3265,47.3265,567.918,70.9898,94.653,47.3265,567.918,189.306,189.306,567.918,47.3265,47.3265,94.653
dining,2410.8,Cashback Credit Card,Cashback Credit Card,24.108,12.054,6.027,12.054,48.216,6.027,24.108,6.027,16.8756,12.054,9.0405,12.054,6.027,6.027,9.0405,24.108,6.027,6.027,12.054,24.108,24.108,24.108,24.108,12.054,6.027,6.027
groceries,2799.71,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,27.9971,27.9971,6.9993,13.9985,27.9971,6.9993,6.9993,3.4996,4.8995,13.9985,3.4996,27.9971,6.9993,3.4996,3.4996,27.9971,3.4996,3.4996,3.4996,41.9957,27.9971,27.9971,55.9942,6.9993,3.4996,3.4996
